"Identifier,C,254","Type,C,254","Address,C,254","Annote,M","Author,M","Booktitle,M","Chapter,C,254","Edition,C,254","Editor,M","Howpublish,C,254","Institutn,M","Journal,M","Month,C,254","Note,M","Number,C,254","Organizat,M","Pages,C,254","Publisher,M","School,M","Series,C,254","Title,M","RepType,C,254","Volume,C,254","Year,C,254","URL,M","Custom1,M","Custom2,M","Custom3,M","Custom4,M","Custom5,M","ISBN,C,254"
ARJ00,1,,,"Artymiak, Jacek",,,,,,,,,,,,99,devGuide.net Ltd,,,LibreOffice Calc Functions and Formulas Tips,,,2011,,English,,,,,B0051J8FD4
AVV00,1,,,,,,,,,,,,,,,72,Open Source Press,,,LibreOffice,,,2011,,English,,,,,9783941841529
DUD00,1,,,,,,,,,,,,,,,,Bibliograph. Instit. GmbH,,,Die Duden-Rechtschreibpr??fung f??r OOo und LibreOffice,,,2011,,Deutsch,,,,,9783411112845
GAS00,1,,,"Gautier, Sophie",,,,,,,,,,,,,Eyrolles,,,De OOo ?á LibreOffice 3.5,,,2011,,Fran?ºais,,,,,9782212134407
GRM00,1,,,"Gris, Myriam",,,,,,,,,,,,,ENI,,,Coffret OOo 3.3 et LibreOffice,,,2011,,Fran?ºais,,,,,9782746068391
GRM01,1,,,"Gris, Myriam",,,,,,,,,,,,422,ENI,,,Writer 3.3,,,2011,,Fran?ºais,,,,,9782746067769
GRM02,1,,,"Gris, Myriam",,,,,,,,,,,,424,ENI,,,Calc 3.3,,,2011,,Fran?ºais,,,,,9782746067714
GRM03,1,,,"Gris, Myriam",,,,,,,,,,,,12,ENI,,,Impress 3.3,,,2011,,Fran?ºais,,,,,9782746063143
GRM04,1,,,"Gris, Myriam",,,,,,,,,,,,301,ENI,,,Base 3.3,,,2011,,Fran?ºais,,,,,9782746062092
HAY00,1,,,"Hayes, Stephen",,,,,,,,,,,,136,Kindle Edition,,,Behind the Screen with Windows XP and LibreOffice,,,2011,,English,,,,,B005GL9NE2
KAG00,1,,,"Karsten, G??nther",,,,,,,,,,,,256,O'Reilly Vlg. GmbH & Co.,,,LibreOffice - kurz & gut,,,2011,,Deutsch,,,,,9783868991185
LOD00,1,,,LibreOffice Documentation Team,,,,,,,,,,,,,Friends of OpenDocument Inc.,,,Getting Started with LibreOffice 3.3,,,2011,,English,,,,,9781447575092
LOD01,1,,,LibreOffice Documentation Team,,,,,,,,,,,,439,Friends of OpenDocument Inc.,,,LibreOffice 3 Writer Guide,,,2011,,English,,,,,9781921320156
LOD02,1,,,LibreOffice Documentation Team,,,,,,,,,,,,418,Friends of OpenDocument Inc.,,,LibreOffice 3 Calc Guide ,,,2011,,English,,,,,9781921320163
LOD03,1,,,LibreOffice Documentation Team,,,,,,,,,,,,235,Friends of OpenDocument Inc.,,,LibreOffice 3 Impress Guide ,,,2011,,English,,,,,9781921320194
LOD04,1,,,LibreOffice Documentation Team,,,,,,,,,,,,199,Friends of OpenDocument Inc.,,,LibreOffice 3 Draw Guide ,,,2011,,English,,,,,9781921320200
LOD05,1,,,LibreOffice Documentation Team,,,,,,,,,,,,27,Friends of OpenDocument Inc.,,,LibreOffice 3 Math Guide ,,,2011,,English,,,,,
MGV00,1,,,"Marcelly, Bernard - Godard, Laurent",,,,,,,,,,,,,Eyrolles,,,Programmation OOo et LibreOffice,,,2011,,Fran?ºais,,,,,9782212132472
RUD00,1,,,"Ruggeri, Denis",,,,,,,,,,,,122,Matematicamente,,,Foglio elettronico: strategie e pratica,,,2011,,Italiano,,,,,9788896354162
STH00,1,,,"Surhone, Lambert - Tennoe, Mariam - Henssonow, Susan",,,,,,,,,,,,120,Betascript Publishing,,,LibreOffice,,,2010,,English,,,,,9786134541541
